Tên chiến dịch,Tên file ảnh
Quân ủy Trung ương,quan-uy-trung-uong.jpg
Lâm Đồng,lam-dong.jpg
Cần Thơ,can-tho.jpg
Khánh Hòa,khanh-hoa.jpg
Quảng Ninh,quang-ninh.jpg
Quảng Ngãi,quang-ngai.jpg
Vĩnh Long,vinh-long.jpg
TP. Hồ Chí Minh,tp-ho-chi-minh.jpg
An Giang,an-giang.jpg
Đồng Nai,dong-nai.jpg
Gia Lai,gia-lai.jpg
Đảng ủy CATW,dang-uy-catw.jpg
Hà Tĩnh,ha-tinh.jpg
Lào Cai,lao-cai.jpg
Quảng Trị,quang-tri.jpg
Sơn La,son-la.jpg
Đảng ủy MTTQ VN,dang-uy-mttq-vn.jpg
Ninh Bình,ninh-binh.jpg
Đắk Lắk,dak-lak.jpg
Hưng Yên,hung-yen.jpg
Lạng Sơn,lang-son.jpg
Điện Biên,dien-bien.jpg
Đồng Tháp,dong-thap.jpg
Thanh Hóa,thanh-hoa.jpg
Đảng ủy Chính phủ,dang-uy-chinh-phu.jpg
Cao Bằng,cao-bang.jpg
Nghệ An,nghe-an.jpg
Hải Phòng,hai-phong.jpg
Phú Thọ,phu-tho.jpg
Lai Châu,lai-chau.jpg
Tuyên Quang,tuyen-quang.jpg
Tây Ninh,tay-ninh.jpg
Bắc Ninh,bac-ninh.jpg
Thái Nguyên,thai-nguyen.jpg
Hà Nội,ha-noi.jpg
Cà Mau,ca-mau.jpg
TP. Huế,tp-hue.jpg
Đà Nẵng,da-nang.jpg
Đảng ủy CQĐTW,dang-uy-cqdtw.jpg
Đảng ủy Quốc hội,dang-uy-quoc-hoi.jpg
_mặc định,nen-mac-dinh.jpg
